pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-01-01	Real Analysis II, Measure Theory	Personal Notes	These notes cover advanced topics in Real Analysis, with a focus on Measure Theory.	Xingjian Lyu. (2024). "Real Analysis II, Measure Theory." <i>Personal Notes</i>.	paper-real-analysis-ii	https://nlyu1.github.io/real-analysis/	
2024-01-01	Classical Information Theory	Personal Notes	These notes explore fundamental concepts in Classical Information Theory.	Xingjian Lyu. (2024). "Classical Information Theory." <i>Personal Notes</i>.	paper-classical-info-theory	https://nlyu1.github.io/classical-info-theory	
2024-01-01	Classical Mechanics	Personal Notes	Notes on advanced topics in Classical Mechanics, including Lagrangian and Hamiltonian mechanics.	Xingjian Lyu. (2024). "Classical Mechanics." <i>Personal Notes</i>.	paper-classical-mechanics	https://github.com/nlyu1/Fall-2024/tree/main/6-7480/notes	
2024-01-01	Analysis of Boolean Functions	Personal Notes	This document contains detailed notes on the Analysis of Boolean Functions.	Xingjian Lyu. (2024). "Analysis of Boolean Functions." <i>Personal Notes</i>.	paper-analysis-boolean-functions	https://nlyu1.github.io/analysis-boolean-function	
2023-01-01	Quantum Mechanics II	Personal Notes	These notes cover advanced concepts in Quantum Mechanics, including measurement and entanglement.	Xingjian Lyu. (2023). "Quantum Mechanics II." <i>Personal Notes</i>.	paper-quantum-mechanics-ii	https://nlyu1.github.io/quantum-mechanics-2	
2022-01-01	Quantum Computation and Information I	Personal Notes	Notes on quantum computation, focusing on the basics of qubits, quantum gates, and algorithms.	Xingjian Lyu. (2022). "Quantum Computation and Information I." <i>Personal Notes</i>.	paper-quantum-computation-i	https://github.com/nlyu1/Fall-2024/tree/main/Misc/Quantum%20Computing%20Notes	
2023-01-01	Statistical Inference	Personal Notes	PDF notes on advanced topics in Statistical Inference.	Xingjian Lyu. (2023). "Statistical Inference." <i>Personal Notes</i>.	paper-statistical-inference	Fall-2023/Stat-111/Notes/statistical-inference.pdf	
2023-01-01	Algebra	Personal Notes	Notes on algebraic structures: groups, rings, and universal constructions.	Xingjian Lyu. (2023). "Algebra." <i>Personal Notes</i>.	paper-algebra-groups	https://living-crowley-d58.notion.site/Group-dec3fc8b164948348e0c02285649994b	https://living-crowley-d58.notion.site/Ring-33ad2f96f519426ea5cdfc22df8d437d
2023-01-01	Basic Category Theory	Personal Notes	Covers basic concepts in Category Theory, including functors, adjunction, and representables.	Xingjian Lyu. (2023). "Basic Category Theory." <i>Personal Notes</i>.	paper-basic-category-theory	https://living-crowley-d58.notion.site/Categories-Functors-Natural-Transformations-22085f9d472f45168044b3747f0cf96d	https://living-crowley-d58.notion.site/Adjoint-bce6a8a1046e4794ae7c9a09291da978?pvs=4
2023-01-01	Miscellany	Personal Notes	A collection of miscellaneous notes and concepts in various fields. Placeholder for future expansion.	Xingjian Lyu. (2023). "Miscellany." <i>Personal Notes</i>.	paper-miscellany	placeholder.pdf	
